Station,Parameter,Timestamp,Value
Mai Khola,Water Level,,1.45799922943
Mai Khola,Water Level,,1.46299934387
Mai Khola,Water Level,,1.46099948883
Mai Khola,Water Level,,1.46399974823
Mai Khola,Water Level,,1.46499919891
Mai Khola,Water Level,,1.47399997711
Mai Khola,Water Level,,1.48199939728
Mai Khola,Water Level,,1.46899986267
Mai Khola,Water Level,,1.4749994278
Mai Khola,Water Level,,1.48199939728
Mai Khola,Water Level,,1.48199939728
Mai Khola,Water Level,,1.46399974823
Mai Khola,Water Level,,1.47099971771
Mai Khola,Water Level,,1.45599937439
Mai Khola,Water Level,,1.45799922943
Mai Khola,Water Level,,1.46700000763
Mai Khola,Water Level,,1.44999980927
Mai Khola,Water Level,,1.45099925995
Mai Khola,Water Level,,1.45499992371
Mai Khola,Water Level,,1.45099925995
Mai Khola,Water Level,,1.45599937439
Mai Khola,Water Level,,1.44799995422
Mai Khola,Water Level,,1.45099925995
Mai Khola,Water Level,,1.44799995422
Mai Khola,Water Level,,1.44699954987
Mai Khola,Water Level,,1.44199943542
Mai Khola,Water Level,,1.43699932098
Mai Khola,Water Level,,1.4329996109
Mai Khola,Water Level,,1.42799949646
Mai Khola,Water Level,,1.42799949646
Mai Khola,Water Level,,1.41799926758
Mai Khola,Water Level,,1.4359998703
Mai Khola,Water Level,,1.53999996185
Mai Khola,Water Level,,1.46599960327
Mai Khola,Water Level,,1.4109992981
Mai Khola,Water Level,,1.41299915314
Mai Khola,Water Level,,1.39599990845
Mai Khola,Water Level,,1.39199924469
Mai Khola,Water Level,,1.38599967957
Mai Khola,Water Level,,1.38099956512
Mai Khola,Water Level,,1.38199996948
Mai Khola,Water Level,,1.37099933624
Mai Khola,Water Level,,1.37599945068
Mai Khola,Water Level,,1.37799930573
Mai Khola,Water Level,,1.37899971008
Mai Khola,Water Level,,1.38499927521
Mai Khola,Water Level,,1.38299942017
Mai Khola,Water Level,,1.375
Mai Khola,Water Level,,1.37699985504
Mai Khola,Water Level,,1.37999916077
Mai Khola,Water Level,,1.38700008392
Mai Khola,Water Level,,1.39699935913
Mai Khola,Water Level,,1.39299964905
Mai Khola,Water Level,,1.38799953461
Mai Khola,Water Level,,1.38399982452
Mai Khola,Water Level,,1.37999916077
Mai Khola,Water Level,,1.38099956512
Mai Khola,Water Level,,1.38499927521
Mai Khola,Water Level,,1.40299987793
Mai Khola,Water Level,,1.39199924469
Mai Khola,Water Level,,1.40199947357
Mai Khola,Water Level,,1.39899921417
Mai Khola,Water Level,,1.39400005341
Mai Khola,Water Level,,1.39499950409
Mai Khola,Water Level,,1.38799953461
Mai Khola,Water Level,,1.38599967957
Mai Khola,Water Level,,1.37899971008
Mai Khola,Water Level,,1.38599967957
Mai Khola,Water Level,,1.38599967957
Mai Khola,Water Level,,1.38099956512
Mai Khola,Water Level,,1.38199996948
Mai Khola,Water Level,,1.36800003052
Mai Khola,Water Level,,1.3659992218
Mai Khola,Water Level,,1.37899971008
Mai Khola,Water Level,,1.38499927521
Mai Khola,Water Level,,1.38899993896
Mai Khola,Water Level,,1.39400005341
Mai Khola,Water Level,,1.39400005341
Mai Khola,Water Level,,1.38399982452
Mai Khola,Water Level,,1.38299942017
Mai Khola,Water Level,,1.38399982452
Mai Khola,Water Level,,1.47699928284
Mai Khola,Water Level,,1.53399944305
Mai Khola,Water Level,,1.44199943542
Mai Khola,Water Level,,1.39699935913
Mai Khola,Water Level,,1.38799953461
Mai Khola,Water Level,,1.38099956512
Mai Khola,Water Level,,1.38199996948
Mai Khola,Water Level,,1.37399959564
Mai Khola,Water Level,,1.36999988556
Mai Khola,Water Level,,1.35899925232
Mai Khola,Water Level,,1.35899925232
Mai Khola,Water Level,,1.35499954224
Mai Khola,Water Level,,1.35799980164
Mai Khola,Water Level,,1.35400009155
Mai Khola,Water Level,,1.35599994659
Mai Khola,Water Level,,1.34099960327
Mai Khola,Water Level,,1.33899974823
Mai Khola,Water Level,,1.33399963379
Mai Khola,Water Level,,1.3469991684
Mai Khola,Water Level,,1.35099983215
Mai Khola,Water Level,,1.34299945831
Mai Khola,Water Level,,1.34299945831
Mai Khola,Water Level,,1.34599971771
Mai Khola,Water Level,,1.33899974823
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
Nayabazar - Namsaling,Rainfall,,0.0
